Player,Show,Role,Oneshot,Link
Alcuin Gersh,A Darkened Wish,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
Gini Benson,A Darkened Wish,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
Sam de Leve,A Darkened Wish,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
B. Dave Walters,A Darkened Wish,DM,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
Todd Kenreck,A Darkened Wish,Guest,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
Dustin Fletcher,A Darkened Wish,Guest,,
Devan Henderson,A Darkened Wish,Guest,,
,,,,
Jeremy Crawford,D&D Live 2019: The Descent Part 1,DM,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Joe Manganiello,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Kelly Lynne D'Angelo,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Taliesin Jaffe,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Taran Killam,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Alex Lee,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
Surena Marie,D&D Live 2019: The Descent Part 1,Player,Yes,https://www.youtube.com/watch?v=onH65amYMPI
,,,,
Kate Welch,D&D Live 2019: The Descent Part 2,DM,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Joe Manganiello,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Matthew Lillard,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Travis McElroy,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Clint McElroy,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Malik Forte,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
Jerry Holkins,D&D Live 2019: The Descent Part 2,Player,Yes,https://www.youtube.com/watch?v=yEnbAC3mtGU
,,,,
Marisha Ray,D&D Live 2019: The Descent Part 3,DM,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Deborah Ann Woll,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Krystina Arielle,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Matthew Lillard,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Satine Phoenix,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Patrick Rothfuss,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
Kate Welch,D&D Live 2019: The Descent Part 3,Player,Yes,https://www.youtube.com/watch?v=gyKvnUZiX1M
,,,,
Chris Perkins,D&D Live 2019: The Descent Part 4,DM,Yes,https://www.youtube.com/watch?v=JqLwCAt7Gbc
